fips,pop_total,pop_white,pop_black,pop_hispanic,income_median_household,rent_median_gross,rent_burdened_pct,evict_year,evict_filings
40037,72353,55050,1544,12008,61849.0,910.0,32.2,2018,260
40039,28332,20107,826,2959,57562.0,779.0,41.9,2018,53
40041,41017,26060,186,12785,55114.0,868.0,36.6,2018,81
40043,4433,3699,2,490,60550.0,900.0,21.2,2018,6
40045,3717,3256,9,214,56992.0,728.0,36.6,2018,9
40047,62322,46543,1267,3635,67302.0,915.0,34.7,2018,303
40049,25779,20194,405,3715,57127.0,828.0,31.1,2018,68
40051,55868,45551,1203,5745,75730.0,874.0,30.6,2018,193
40053,4137,3661,88,213,61824.0,856.0,19.6,2018,7
40055,5498,4428,371,363,60183.0,624.0,38.9,2018,13
40057,2452,1669,273,116,54286.0,663.0,27.3,2018,10
40059,3231,2471,2,127,59191.0,791.0,5.3,2018,8
40061,11667,8090,32,2824,49930.0,757.0,34.6,2018,19
40063,13411,8653,626,3317,47923.0,615.0,32.4,2018,42
40065,24730,17809,1637,1483,61497.0,865.0,26.3,2018,81
40067,5377,4286,77,606,48750.0,588.0,33.9,2018,17
40069,10334,7110,248,2377,50911.0,732.0,30.1,2018,29
40071,43731,32525,943,6896,56673.0,830.0,33.7,2018,94
40073,15288,12423,174,935,70617.0,915.0,30.3,2018,18
40075,8458,6858,284,858,42063.0,675.0,48.3,2018,16
40077,9495,5977,124,2995,41048.0,720.0,42.1,2018,19
40079,48728,34574,900,9322,50027.0,773.0,32.5,2018,150
40081,33917,27899,590,3926,59425.0,760.0,29.4,2018,67
40083,50905,39723,3301,4331,82735.0,895.0,39.5,2018,149
40085,10196,7374,217,1107,62940.0,903.0,22.9,2018,30
40087,43779,34797,460,4925,84778.0,964.0,40.0,2018,119
40089,30825,18731,2384,6969,50175.0,705.0,31.8,2018,86
40091,19237,13091,538,4973,46203.0,763.0,35.1,2018,59
40093,7656,6468,2,455,69229.0,619.0,25.0,2018,15
40095,15628,10502,138,2393,56495.0,819.0,28.4,2018,49
40097,39406,25127,162,12347,57279.0,846.0,33.8,2018,200
40099,13807,9884,176,2923,61904.0,859.0,29.8,2018,41
40101,66471,37153,6490,17821,51999.0,824.0,37.4,2018,318
40103,10909,8787,133,1546,70071.0,758.0,24.2,2018,12
40105,9392,6192,153,2561,52679.0,776.0,36.0,2018,15
40107,11304,6986,743,3163,45441.0,689.0,34.8,2018,28
40109,800487,479766,116150,61096,65374.0,1073.0,39.6,2018,7764
40111,36922,23272,2605,9060,53123.0,811.0,39.3,2018,167
40113,45963,29109,4676,9724,60482.0,786.0,39.7,2018,124
40115,30360,19385,335,8408,48656.0,764.0,34.7,2018,121
40117,15689,11984,151,2901,57551.0,872.0,36.9,2018,37
40119,82290,62628,3042,7636,48937.0,922.0,49.4,2018,342
40121,43629,30653,1013,9631,54787.0,857.0,41.4,2018,160
40123,38158,24835,957,10166,62564.0,880.0,28.4,2018,177
40125,73011,52814,2305,13548,60828.0,869.0,33.3,2018,414
40127,10787,7552,154,2677,44634.0,620.0,36.1,2018,23
40129,3378,2814,3,364,62721.0,708.0,33.0,2018,8
40131,97235,69508,954,20159,77688.0,1018.0,31.3,2018,325
40133,23550,15245,1016,6185,46191.0,730.0,36.8,2018,92
40135,39676,24755,817,12489,49795.0,796.0,36.1,2018,124
40137,43314,34901,675,4189,60236.0,865.0,36.0,2018,224
40139,20880,10686,868,1461,59275.0,939.0,29.4,2018,26
40141,6967,4524,529,539,47445.0,704.0,41.6,2018,15
40143,673708,422034,65542,77919,67317.0,1060.0,36.4,2018,11858
40145,84339,58751,2876,14105,78520.0,1050.0,34.9,2018,386
40147,52895,38525,1448,8868,61205.0,903.0,39.6,2018,219
40149,10857,9355,154,636,61980.0,775.0,26.7,2018,19
40151,8619,7547,218,584,50512.0,806.0,46.5,2018,9
40153,20260,16924,248,986,65060.0,847.0,22.9,2018,119
41001,16796,15199,206,495,57844.0,814.0,40.1,2018,2
41003,96359,77495,1346,2409,76011.0,1359.0,53.4,2018,172
41005,422308,338903,4448,10108,100360.0,1693.0,46.4,2018,1652
41007,41343,35338,390,1270,68705.0,1130.0,39.3,2018,178
41009,53178,46262,301,1788,86359.0,1221.0,44.4,2018,150
41011,64832,55520,366,3937,60313.0,992.0,41.6,2018,321
41013,25651,22895,65,948,81675.0,1224.0,40.6,2018,78
41015,23463,20241,60,1498,64769.0,1156.0,37.5,2018,72
41017,203026,179623,833,4522,87640.0,1674.0,39.9,2018,574
41019,111807,97979,396,5212,58983.0,995.0,38.6,2018,373
41021,2002,1683,0,139,64219.0,1084.0,21.2,2018,1
41023,7238,6475,8,181,59800.0,840.0,30.7,2018,1
41025,7515,6596,16,376,48338.0,675.0,29.6,2018,1
41027,23958,17635,227,535,82095.0,1381.0,37.1,2018,35
41029,222563,184577,1475,7267,71443.0,1310.0,44.3,2018,1233
41031,24973,15666,176,4664,73051.0,957.0,36.4,2018,106
41033,88069,76884,487,3745,59097.0,1157.0,46.2,2018,339
41035,69812,55581,493,4765,59353.0,973.0,44.0,2018,543
41037,8254,7137,43,446,61222.0,861.0,38.0,2018,21
41039,382628,313849,4472,14145,69311.0,1287.0,44.8,2018,1745
